,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,321.1715101278462,-9.55057169483011,681.0505384966318,2.4,1799.0,0.001066364539845805,1.003350960852626,0.0,0.26429429193251586,0.7357057080674841,0.0,0.0,1.7749870959012564,1.9041943144469222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062028940075601335,851.6823913842984,0.0,0.0,0.16622362882386962,0.0,0.0,0.0,0.0,0.02384342260047417,0.1348337111894039,0.15026375906214617,11.399999999999999,0.0,0.0,0.0,-9.550571694830111,676.8260541925455,3640.1494462564447,11.042220466579861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,681.0505384966318,0.0016039195544375327
1,320.6370000942438,-9.551006207660887,681.1271922656216,2.399865145868262,1787.809154881163,0.0011391234296840057,1.0030938523381565,0.0026864080518699215,0.26466735691061277,0.7326462350375174,0.00010819397513388172,0.00257821407673604,1.7723598032813361,1.9015799045738861,0.2321428212003181,0.9999870949429169,1.290505708304954e-05,0.0,3.408599040428865,3.408599040428865,2.519221102624411,2.121696442863813,0.0,66.20912313902332,0.04027458712334167,0.006202849455093196,851.2469829566857,0.6596769252520368,14.651581446132777,0.15171968537099398,1.3175970405234555e-05,0.002111004295555547,3.762833836160651e-09,8.966664874641437e-08,0.023844159904716805,0.13483092614769196,0.15027034487847274,0.0,0.0,0.0,0.0,-9.551006207660887,676.9022628322276,3640.099495519925,11.042097758666566,0.0026864080518699215,0.26466735691061277,0.7326462350375174,0.00010819397513388172,0.00257821407673604,0.9999870949429169,1.290505708304954e-05,0.0,272.7233617869579,1.0000468121885586,1.4159619934795686,1.4159619934795686,0.4159151812910101,681.1271922656216,0.0016037334733196471
2,320.1024900606414,-9.55144072049166,681.1933071055137,2.3998003409221527,1782.4758756609122,0.0011392428088105124,1.0028374169027894,0.0028745420654046065,0.26506137917057354,0.7320640787640218,0.00011564919180518234,0.0027588928735994243,1.7697364653783725,1.8989692742196802,0.24847990480556373,0.9999809357878806,1.9064212119382025e-05,0.0,3.6480690776571305,3.6480690776571305,2.523468476284443,2.1262651719528765,0.0,66.28981349357278,0.040232214096649205,0.006190482208692449,850.8755325713225,0.702990720634538,15.6290467228056,0.1517199763183231,1.3150895543907951e-05,0.00211122247321272,5.943644465130188e-09,1.417898223247379e-07,0.023845058408587246,0.1348290503267538,0.1502769330083926,0.0,0.0,0.0,0.0,-9.55144072049166,676.9763920571966,3640.0754913571486,11.042802221201113,0.0028745420654046065,0.26506137917057354,0.7320640787640218,0.00011564919180518234,0.0027588928735994243,0.9999809357878806,1.9064212119382025e-05,0.0,254.67154840921768,1.000130777517835,1.6239800931507384,1.6239800931507384,0.6238493156329035,681.1933071055137,0.0016035636942917117
3,319.56798002703897,-9.551875233322436,681.2592630526825,2.399741610998678,1777.667288832922,0.001139361052405118,1.0025816553495435,0.0028799226616182416,0.26545534368193685,0.7316647336564448,0.00011573542866568241,0.002764187232952559,1.767117076915972,1.896362418110786,0.24901410447870964,0.9999753815483866,2.461845161341075e-05,0.0,3.6555571213229565,3.6555571213229565,2.5279270049772613,2.1310507842882904,0.0,66.36984368002568,0.04018699189673731,0.006178139451236575,850.5003244498037,0.7013760340427956,15.609753251010925,0.1517202701797444,1.3125872797824786e-05,0.0021114413859094224,7.68314334961587e-09,1.8350169002527645e-07,0.02384597169187564,0.13482725571266213,0.150283523452134,0.0,0.0,0.0,0.0,-9.551875233322436,677.0503483230964,3640.0537373973907,11.04345583112625,0.0028799226616182416,0.26545534368193685,0.7316647336564448,0.00011573542866568241,0.002764187232952559,0.9999753815483866,2.461845161341075e-05,0.0,254.05707709016013,1.0002230486107273,1.728011763657161,1.728011763657161,0.7277887150464338,681.2592630526825,0.0016033932231848671
4,319.03346999343654,-9.552309746153211,681.3252466482586,2.399682735370453,1772.8702775234447,0.0011394793312040905,1.002326568043655,0.002885314283517445,0.2658503763933339,0.7312643093231486,0.00011582226743780538,0.00276949201607964,1.7645016326264569,1.893759330982446,0.2495497418969376,0.9999698377193297,3.0162280670291008e-05,0.0,3.6630656701638076,3.6630656701638076,2.5323968003178026,2.1358468138526847,0.0,66.450068357227,0.040141993577423436,0.006165821134874183,850.1249633949826,0.6997664169460356,15.590442059363811,0.15172056639638648,1.3100897850894623e-05,0.0021116603568659036,9.422995739831368e-09,2.253186027723817e-07,0.02384688557898717,0.1348254621466456,0.15029011620992622,0.0,0.0,0.0,0.0,-9.552309746153211,677.1243170427514,3640.0319294448263,11.0441053435132,0.002885314283517445,0.2658503763933339,0.7312643093231486,0.00011582226743780538,0.00276949201607964,0.9999698377193297,3.0162280670291008e-05,0.0,253.4435550056179,1.0003145118442565,1.7800455086347946,1.7800455086347946,0.7797309967905381,681.3252466482586,0.001603222658829335
5,318.4989599598341,-9.552744258983985,681.3912605454434,2.399623624717191,1768.0775926724805,0.001139597661813096,1.0020721558092431,0.00289072658964195,0.26624670034876574,0.7308625730615923,0.00011590962467120942,0.0027748169649707403,1.761890127250827,1.8911600075786559,0.2500876948576066,0.9999642959190272,3.5704080972721294e-05,0.0,3.6706066021756723,3.6706066021756723,2.536883741969512,2.140658657992203,0.0,66.53057200957737,0.04009705555915828,0.0061535272118448114,849.7501451003652,0.6981613348432143,15.571167683640631,0.15172086427979117,1.3075970553277018e-05,0.0021118793766998108,1.1165840513707912e-08,2.673044949759912e-07,0.02384779987009293,0.13482366849855185,0.1502967112819983,0.0,0.0,0.0,0.0,-9.552744258983985,677.1983008817638,3640.0100344143652,11.044759795488137,0.00289072658964195,0.26624670034876574,0.7308625730615923,0.00011590962467120942,0.0027748169649707403,0.9999642959190272,3.5704080972721294e-05,0.0,252.83005860202022,1.000403070153984,1.8060778023299133,1.8060778023299133,0.8056747321759293,681.3912605454434,0.0016030520096059699
6,317.96444992623174,-9.55317877181476,681.457304803628,2.399564276199041,1763.28912554611,0.001139716044550375,1.0018184192034478,0.002896161653641336,0.266644324880957,0.7304595134654016,0.00011599749026725937,0.0027801641633740763,1.759282555538775,1.8885644426521735,0.2506281480051752,0.9999587560057844,4.124399421551721e-05,0.0,3.6781826025263538,3.6781826025263538,2.541389606778898,2.145488095811634,0.0,66.61135722733815,0.040052146302474535,0.006141257634478259,849.3758787867093,0.6965606999698344,15.551941131385888,0.15172116382973197,1.3051090813595424e-05,0.002112098445386281,1.2911750097734648e-08,3.0946173771050603e-07,0.0238487145618501,0.13482187474923985,0.1503033086685791,0.0,0.0,0.0,0.0,-9.55317877181476,677.2722999279317,3639.988051253836,11.045419315269985,0.002896161653641336,0.266644324880957,0.7304595134654016,0.00011599749026725937,0.0027801641633740763,0.9999587560057844,4.124399421551721e-05,0.0,252.2164163547283,1.000488930959192,1.8191080921785225,1.8191080921785225,0.8186191612193304,681.457304803628,0.0016028812756169713
7,317.4299398926293,-9.553613284645534,681.5233794444257,2.399504688237882,1758.504872255501,0.001139834479495716,1.0015653588808564,0.0029016196132901463,0.26704325635448234,0.7300551240322275,0.00011608586592468971,0.0027855337473654566,1.7566789122487012,1.8859726309644842,0.25117111798908787,0.9999532179588545,4.678204114550333e-05,0.0,3.6857939040137895,3.6857939040137895,2.545914508411482,2.1503352400624416,0.0,66.69242545361854,0.04000726538826361,0.006129012355195695,849.0021641111009,0.6949644960409789,15.532762405796605,0.15172146505516582,1.3026258541503036e-05,0.002112317563038559,1.4660760128713807e-08,3.5179168260721575e-07,0.023849629653800063,0.13482008089587622,0.15030990836989788,0.0,0.0,0.0,0.0,-9.553613284645534,677.3463142314561,3639.9659793783994,11.046083906896655,0.0029016196132901463,0.26704325635448234,0.7300551240322275,0.00011608586592468971,0.0027855337473654566,0.9999532179588545,4.678204114550333e-05,0.0,251.60262933445574,1.00057282679633,1.8256367302634273,1.8256367302634273,0.8250639034670972,681.5233794444257,0.0016027104568422073
8,316.8954298590269,-9.55404779747631,681.5894844893835,2.399444859260629,1753.7248304579753,0.00113995296672655,1.0013129752919823,0.0029071005793118773,0.26744350112992504,0.729649398290763,0.00011617475349082974,0.0027909258258210475,1.7540791921476824,1.8833845672858314,0.2517166191563608,0.9999476817591317,5.231824086825448e-05,0.0,3.693440705754788,3.693440705754788,2.5504585372764232,2.1552001801773133,0.0,66.77377812416415,0.03996241283070047,0.006116791326508775,848.6290004085806,0.6933727076444769,15.513631353349913,0.1517217679652604,1.3001473646841315e-05,0.002112536729772965,1.641290594405435e-08,3.9429567698328594e-07,0.023850545145523257,0.13481828693584894,0.15031651038618393,0.0,0.0,0.0,0.0,-9.55404779747631,677.4203438424192,3639.9438182050976,11.046753570214122,0.0029071005793118773,0.26744350112992504,0.729649398290763,0.00011617475349082974,0.0027909258258210475,0.9999476817591317,5.231824086825448e-05,0.0,250.98870107324393,1.000655438501559,1.828914207360673,1.828914207360673,0.8282587688591141,681.5894844893835,0.0016025395532586765
9,316.3609198254245,-9.554482310307083,681.6556199604971,2.39938478768092,1748.9489978373165,0.0011400715063213532,1.0010612691894811,0.0029126046634862955,0.26784506560803245,0.7292423297284812,0.00011626415488194521,0.00279634050860435,1.7514833900114997,1.88080024639518,0.2522646659927272,0.9999421473873984,5.785261260165756e-05,0.0,3.7011232088140655,3.7011232088140655,2.5550217846706706,2.160083006459559,0.0,66.85541668426394,0.03991758865852419,0.006104594501018967,848.2563872613786,0.6917853197536751,15.494547822419582,0.1517220725692664,1.2976736039625466e-05,0.0021127559457067894,1.8168223130003334e-08,4.369750793731554e-07,0.023851461036597358,0.13481649286653083,0.1503231147176665,0.0,0.0,0.0,0.0,-9.554482310307083,677.4943888112975,3639.921567146041,11.047428308279295,0.0029126046634862955,0.26784506560803245,0.7292423297284812,0.00011626415488194521,0.00279634050860435,0.9999421473873984,5.785261260165756e-05,0.0,250.37463507168917,1.0007372638497625,1.8305659264026584,1.8305659264026584,0.8298286625528959,681.6556199604971,0.0016023685648423693
